Date,Particulate_Matter,Ozon,Nitrogen_Dioxide,Sulfur_Dioxide
2021/2/18,138,9,5,5
2021/2/19,161,13,4,5
2021/2/20,150,14,4,4
2021/2/21,134,7,4,4
2021/2/22,114,6,3,3
2021/2/28,130,2,2,3
2021/3/1,122,2,6,3
2021/3/2,100,2,6,3
2021/3/3,153,2,6,3
2021/3/4,134,2,6,3
2021/3/5,105,4,6,3
2021/3/6,117,5,6,3
2021/3/7,120,4,6,3
2021/3/8,138,3,6,3
2021/3/9,78,4,6,3
2021/3/10,75,4,6,3
2021/3/11,86,4,6,3
2021/3/12,101,3,7,3
2021/3/13,119,6,7,3
2021/3/14,120,6,6,3
2021/3/15,95,4,6,3
2021/3/16,88,3,6,3
2021/3/17,96,4,6,3
2021/3/18,96,3,6,3
2021/3/19,83,4,6,3
2021/3/20,75,6,6,3
2021/3/21,73,7,6,4
2021/3/22,113,9,7,4
2021/3/23,159,3,8,5
2021/3/24,168,4,7,3
2021/3/25,166,3,6,3
2021/3/26,112,3,6,3
2021/3/27,75,2,6,3
2021/3/28,73,4,6,3
2021/3/29,133,5,7,3
2021/3/30,130,5,6,3
2021/3/31,117,5,6,3
2020/11/3,82,5,9,2
2020/11/4,135,5,15,1
2020/11/5,169,4,13,1
2020/11/6,178,7,8,1
2020/11/7,116,9,8,1
2020/11/8,125,11,10,2
2020/11/9,130,12,11,3
2020/11/10,139,10,13,3
2020/11/11,147,15,13,2
2020/11/12,156,13,13,2
2020/11/13,149,12,10,2
2020/11/24,116,3,12,1
2020/11/26,107,7,11,1
2020/11/27,139,4,6,1
2020/11/28,111,7,6,1
2020/11/29,94,8,8,1
2020/11/30,114,5,12,2
2020/12/1,152,4,12,2
2020/12/2,163,5,8,1
2020/12/3,137,5,8,1
2020/12/4,95,6,8,1
2020/12/5,117,7,11,2
2020/12/6,155,10,11,2
2020/12/7,168,6,11,1
2020/12/8,154,5,15,2
2020/12/9,182,9,17,2
2020/12/10,183,6,14,2
2020/12/11,175,5,12,2
